id,language_A,language_B,language_C,language_D,language_E
1,ma daka,ma daka,medaka,daka-ka,madaka
2,ma daka du kano,ma daka mu kano,medaka dra kano,daka-ka kano-mu,makanomodaka
3,ma daka ri toto,ma daka nel toto,medaka vren toto,daka-ka toto-nun,matotonudaka
4,fila ma vek daka,ma zo daka fila,ardaka fila,daka-ka-ra fila,madakarufila
5,fila ma vek daka du kano,ma zo daka mu kano fila,ardaka dra kano fila,daka-ka-ra kano-mu fila,makanomodakarufila
6,fila ma vek daka ri toto,ma zo daka nel toto fila,ardaka vren toto fila,daka-ka-ra toto-nun fila,matotonudakarufila
7,sena ma tun daka,ma ki daka sena,ukdaka sena,daka-ka-si sena,madakasesena
8,sena ma tun daka du kano,ma ki daka mu kano sena,ukdaka dra kano sena,daka-ka-si kano-mu sena,makanomodakasesena
9,sena ma tun daka ri toto,ma ki daka nel toto sena,ukdaka vren toto sena,daka-ka-si toto-nun sena,matotonudakasesena
10,ma daka nala,ma daka nala,medaka nala,daka-ka nala,madakanala
11,ta daka,ta daka,tidaka,daka-tu,tadaka
12,ta daka du kano,ta daka mu kano,tidaka dra kano,daka-tu kano-mu,takanomodaka
13,ta daka ri toto,ta daka nel toto,tidaka vren toto,daka-tu toto-nun,tatotonudaka
14,fila ta vek daka,ta zo daka fila,eldaka fila,daka-tu-ra fila,tadakarufila
15,fila ta vek daka du kano,ta zo daka mu kano fila,eldaka dra kano fila,daka-tu-ra kano-mu fila,takanomodakarufila
16,fila ta vek daka ri toto,ta zo daka nel toto fila,eldaka vren toto fila,daka-tu-ra toto-nun fila,tatotonudakarufila
17,sena ta tun daka,ta ki daka sena,otdaka sena,daka-tu-si sena,tadakasesena
18,sena ta tun daka du kano,ta ki daka mu kano sena,otdaka dra kano sena,daka-tu-si kano-mu sena,takanomodakasesena
19,sena ta tun daka ri toto,ta ki daka nel toto sena,otdaka vren toto sena,daka-tu-si toto-nun sena,tatotonudakasesena
20,ta daka nala,ta daka nala,tidaka nala,daka-tu nala,tadakanala
21,lo daka,lo daka,nadaka,daka-li,lodaka
22,lo daka du kano,lo daka mu kano,nadaka dra kano,daka-li kano-mu,lokanomodaka
23,lo daka ri toto,lo daka nel toto,nadaka vren toto,daka-li toto-nun,lototonudaka
24,fila lo vek daka,lo zo daka fila,ordaka fila,daka-li-ra fila,lodakarufila
25,fila lo vek daka du kano,lo zo daka mu kano fila,ordaka dra kano fila,daka-li-ra kano-mu fila,lokanomodakarufila
26,fila lo vek daka ri toto,lo zo daka nel toto fila,ordaka vren toto fila,daka-li-ra toto-nun fila,lototonudakarufila
27,sena lo tun daka,lo ki daka sena,evdaka sena,daka-li-si sena,lodakasesena
28,sena lo tun daka du kano,lo ki daka mu kano sena,evdaka dra kano sena,daka-li-si kano-mu sena,lokanomodakasesena
29,sena lo tun daka ri toto,lo ki daka nel toto sena,evdaka vren toto sena,daka-li-si toto-nun sena,lototonudakasesena
30,lo daka nala,lo daka nala,nadaka nala,daka-li nala,lodakanala
31,ma naku,ma naku,menaku,naku-ka,manaku
32,ma naku na kano,ma naku sha kano,menaku nim kano,naku-ka kano-ne,makanoninaku
33,ma naku na toto,ma naku sha toto,menaku nim toto,naku-ka toto-ne,matotoninaku
34,fila ma vek naku,ma zo naku fila,arnaku fila,naku-ka-ra fila,manakurufila
35,fila ma vek naku na kano,ma zo naku sha kano fila,arnaku nim kano fila,naku-ka-ra kano-ne fila,makanoninakurufila
36,fila ma vek naku na toto,ma zo naku sha toto fila,arnaku nim toto fila,naku-ka-ra toto-ne fila,matotoninakurufila
37,sena ma tun naku,ma ki naku sena,uknaku sena,naku-ka-si sena,manakusesena
38,sena ma tun naku na kano,ma ki naku sha kano sena,uknaku nim kano sena,naku-ka-si kano-ne sena,makanoninakusesena
39,sena ma tun naku na toto,ma ki naku sha toto sena,uknaku nim toto sena,naku-ka-si toto-ne sena,matotoninakusesena
40,ma naku nala,ma naku nala,menaku nala,naku-ka nala,manakunala
41,ta naku,ta naku,tinaku,naku-tu,tanaku
42,ta naku na kano,ta naku sha kano,tinaku nim kano,naku-tu kano-ne,takanoninaku
43,ta naku na toto,ta naku sha toto,tinaku nim toto,naku-tu toto-ne,tatotoninaku
44,fila ta vek naku,ta zo naku fila,elnaku fila,naku-tu-ra fila,tanakurufila
45,fila ta vek naku na kano,ta zo naku sha kano fila,elnaku nim kano fila,naku-tu-ra kano-ne fila,takanoninakurufila
46,fila ta vek naku na toto,ta zo naku sha toto fila,elnaku nim toto fila,naku-tu-ra toto-ne fila,tatotoninakurufila
47,sena ta tun naku,ta ki naku sena,otnaku sena,naku-tu-si sena,tanakusesena
48,sena ta tun naku na kano,ta ki naku sha kano sena,otnaku nim kano sena,naku-tu-si kano-ne sena,takanoninakusesena
49,sena ta tun naku na toto,ta ki naku sha toto sena,otnaku nim toto sena,naku-tu-si toto-ne sena,tatotoninakusesena
