id,english,language_A,language_B,language_C,language_D,language_E
1,I go.,ma daka,ma daka,medaka,daka-ka,madaka
2,I go to the city.,ma daka du kano,ma daka mu kano,medaka dra kano,daka-ka kano-mu,makanomodaka
3,I go into the house.,ma daka ri toto,ma daka nel toto,medaka vren toto,daka-ka toto-nun,matotonudaka
4,I will go tomorrow.,fila ma vek daka,ma zo daka fila,ardaka fila,daka-ka-ra fila,madakarufila
5,I will go to the city tomorrow.,fila ma vek daka du kano,ma zo daka mu kano fila,ardaka dra kano fila,daka-ka-ra kano-mu fila,makanomodakarufila
6,I will go into the house tomorrow.,fila ma vek daka ri toto,ma zo daka nel toto fila,ardaka vren toto fila,daka-ka-ra toto-nun fila,matotonudakarufila
7,I went yesterday.,sena ma tun daka,ma ki daka sena,ukdaka sena,daka-ka-si sena,madakasesena
8,I went to the city yesterday.,sena ma tun daka du kano,ma ki daka mu kano sena,ukdaka dra kano sena,daka-ka-si kano-mu sena,makanomodakasesena
9,I went into the house yesterday.,sena ma tun daka ri toto,ma ki daka nel toto sena,ukdaka vren toto sena,daka-ka-si toto-nun sena,matotonudakasesena
10,I go here.,ma daka nala,ma daka nala,medaka nala,daka-ka nala,madakanala
11,You go.,ta daka,ta daka,tidaka,daka-tu,tadaka
12,You go to the city.,ta daka du kano,ta daka mu kano,tidaka dra kano,daka-tu kano-mu,takanomodaka
13,You go into the house.,ta daka ri toto,ta daka nel toto,tidaka vren toto,daka-tu toto-nun,tatotonudaka
14,You will go tomorrow.,fila ta vek daka,ta zo daka fila,eldaka fila,daka-tu-ra fila,tadakarufila
15,You will go to the city tomorrow.,fila ta vek daka du kano,ta zo daka mu kano fila,eldaka dra kano fila,daka-tu-ra kano-mu fila,takanomodakarufila
16,You will go into the house tomorrow.,fila ta vek daka ri toto,ta zo daka nel toto fila,eldaka vren toto fila,daka-tu-ra toto-nun fila,tatotonudakarufila
17,You went yesterday.,sena ta tun daka,ta ki daka sena,otdaka sena,daka-tu-si sena,tadakasesena
18,You went to the city yesterday.,sena ta tun daka du kano,ta ki daka mu kano sena,otdaka dra kano sena,daka-tu-si kano-mu sena,takanomodakasesena
19,You went into the house yesterday.,sena ta tun daka ri toto,ta ki daka nel toto sena,otdaka vren toto sena,daka-tu-si toto-nun sena,tatotonudakasesena
20,You go here.,ta daka nala,ta daka nala,tidaka nala,daka-tu nala,tadakanala
21,He goes.,lo daka,lo daka,nadaka,daka-li,lodaka
22,He goes to the city.,lo daka du kano,lo daka mu kano,nadaka dra kano,daka-li kano-mu,lokanomodaka
23,He goes into the house.,lo daka ri toto,lo daka nel toto,nadaka vren toto,daka-li toto-nun,lototonudaka
24,He will go tomorrow.,fila lo vek daka,lo zo daka fila,ordaka fila,daka-li-ra fila,lodakarufila
25,He will go to the city tomorrow.,fila lo vek daka du kano,lo zo daka mu kano fila,ordaka dra kano fila,daka-li-ra kano-mu fila,lokanomodakarufila
26,He will go into the house tomorrow.,fila lo vek daka ri toto,lo zo daka nel toto fila,ordaka vren toto fila,daka-li-ra toto-nun fila,lototonudakarufila
27,He went yesterday.,sena lo tun daka,lo ki daka sena,evdaka sena,daka-li-si sena,lodakasesena
28,He went to the city yesterday.,sena lo tun daka du kano,lo ki daka mu kano sena,evdaka dra kano sena,daka-li-si kano-mu sena,lokanomodakasesena
29,He went into the house yesterday.,sena lo tun daka ri toto,lo ki daka nel toto sena,evdaka vren toto sena,daka-li-si toto-nun sena,lototonudakasesena
